support,itemsets,tn,fp,fn,tp,length,support_count,fpr,fnr,accuracy,error,d_fnr,d_fpr,d_accuracy,d_error,t_value_fp,t_value_fn,t_value_fp_fn,t_value_tp_tn
0.094,"frozenset({'gender=0', 'parental level of education=2'})",47,7,23,17,2,94.0,0.12962962962962962,0.575,0.6808510638297872,0.3191489361702128,0.3225538160469667,-0.1832538059531925,-0.037148936170212754,0.037148936170212754,3.358639654301168,4.0840701545196145,0.8168350790321474,0.8168350790321461
0.092,"frozenset({'parental level of education=0', 'lunch=1', 'test preparation course=1'})",20,21,15,36,3,92.0,0.5121951219512195,0.29411764705882354,0.6086956521739131,0.3913043478260869,0.041671463105790285,0.1993116863683974,-0.10930434782608689,0.10930434782608689,2.5315254445734414,0.7417600561911922,2.1339707472502845,2.1339707472502836
0.091,"frozenset({'gender=0', 'parental level of education=5'})",33,12,14,32,2,91.0,0.26666666666666666,0.30434782608695654,0.7142857142857143,0.2857142857142857,0.05190164213392329,-0.04621676891615545,-0.00371428571428567,0.00371428571428567,0.5459089217486135,0.8571100011791795,0.1612060700140781,0.16120607001407697
0.091,"frozenset({'race/ethnicity=2', 'gender=1', 'test preparation course=1'})",46,10,20,15,3,91.0,0.17857142857142858,0.5714285714285714,0.6703296703296703,0.3296703296703297,0.31898238747553814,-0.13431200701139354,-0.04767032967032969,0.04767032967032969,2.2479182917350364,3.8021946186521736,1.004762701060484,1.0047627010604852
0.089,"frozenset({'race/ethnicity=3', 'lunch=1', 'gender=1'})",19,19,11,40,3,89.0,0.5,0.21568627450980393,0.6629213483146067,0.3370786516853933,-0.03675990944322932,0.1871165644171779,-0.055078651685393276,0.055078651685393276,2.3052248416875916,0.44921219784151784,1.1324413713129267,1.1324413713129267
0.089,frozenset({'race/ethnicity=0'}),57,4,11,17,1,89.0,0.06557377049180328,0.39285714285714285,0.8314606741573034,0.1685393258426966,0.1404109589041096,-0.24730966509101882,0.11346067415730343,-0.11346067415730343,5.89544972812413,1.627757057922336,2.528934230976005,2.5289342309760046
0.088,"frozenset({'parental level of education=5', 'gender=1'})",39,13,10,26,2,88.0,0.25,0.2777777777777778,0.7386363636363636,0.26136363636363635,0.025331593824744536,-0.06288343558282211,0.020636363636363675,-0.020636363636363675,0.8676310121306768,0.48011128002154674,0.32520788369219705,0.32520788369219594
0.087,"frozenset({'race/ethnicity=2', 'lunch=1', 'gender=1'})",28,12,17,30,3,87.0,0.3,0.3617021276595745,0.6666666666666666,0.33333333333333337,0.10925594370654124,-0.012883435582822123,-0.05133333333333334,0.05133333333333334,0.05605054534632683,1.6086980127271049,1.054565960492265,1.0545659604922661
0.086,"frozenset({'race/ethnicity=1', 'gender=1'})",49,8,13,16,2,86.0,0.14035087719298245,0.4482758620689655,0.7558139534883721,0.2441860465116279,0.19582967811593227,-0.17253255838983966,0.03781395348837213,-0.03781395348837213,3.164306770609627,2.2012325550929273,0.675028945333026,0.675028945333026
0.085,"frozenset({'race/ethnicity=3', 'gender=0', 'test preparation course=1'})",16,21,7,41,3,85.0,0.5675675675675675,0.14583333333333334,0.6705882352941176,0.3294117647058824,-0.10661285061969991,0.25468413198474543,-0.047411764705882375,0.047411764705882375,3.0864641869449994,1.7044905640010461,0.9746194023188024,0.9746194023188034
